Jahr,Bezirk,Geschlecht,Anzahl_Geburten
2008,1010,2,66
2008,1020,1,544
2008,1020,2,482
2008,1030,1,452
2008,1030,2,399
2008,1040,1,163
2008,1040,2,142
2008,1050,1,287
2008,1050,2,278
2008,1060,1,138
2008,1060,2,119
2008,1070,1,143
2008,1070,2,147
2008,1080,1,108
2008,1080,2,114
2008,1090,1,201
2008,1090,2,201
2008,1100,1,965
2008,1100,2,934
2008,1110,1,553
2008,1110,2,469
2008,1120,1,479
2008,1120,2,500
2008,1130,1,222
2008,1130,2,189
2008,1140,1,405
2008,1140,2,372
2008,1150,1,431
2008,1150,2,416
2008,1160,1,572
2008,1160,2,563
2008,1170,1,325
2008,1170,2,275
2008,1180,1,267
2008,1180,2,242
2008,1190,1,302
2008,1190,2,308
2008,1200,1,507
2008,1200,2,450
2008,1210,1,664
2008,1210,2,600
2008,1220,1,780
2008,1220,2,705
2008,1230,1,450
2008,1230,2,386
2009,1010,1,80
2009,1010,2,69
2009,1020,1,555
2009,1020,2,457
2009,1030,1,444
2009,1030,2,415
2009,1040,1,147
2009,1040,2,145
2009,1050,1,304
2009,1050,2,274
2009,1060,1,157
2009,1060,2,118
2009,1070,1,147
2009,1070,2,152
2009,1080,1,111
2009,1080,2,100
2009,1090,1,180
2009,1090,2,157
2009,1100,1,1015
2009,1100,2,938
2009,1110,1,523
2009,1110,2,457
2009,1120,1,514
2009,1120,2,471
2009,1130,1,200
2009,1130,2,242
2009,1140,1,439
2009,1140,2,370
2009,1150,1,425
2009,1150,2,395
2009,1160,1,564
2009,1160,2,541
2009,1170,1,311
2009,1170,2,265
2009,1180,1,271
2009,1180,2,254
2009,1190,1,297
2009,1190,2,275
2009,1200,1,516
2009,1200,2,484
2009,1210,1,646
2009,1210,2,605
2009,1220,1,688
2009,1220,2,673
2009,1230,1,380
2009,1230,2,383
2010,1010,1,73
2010,1010,2,73
2010,1020,1,602
2010,1020,2,565
2010,1030,1,461
2010,1030,2,425
2010,1040,1,144
2010,1040,2,173
2010,1050,1,334
2010,1050,2,265
2010,1060,1,152
2010,1060,2,137
2010,1070,1,128
2010,1070,2,165
2010,1080,1,108
2010,1080,2,102
2010,1090,1,201
2010,1090,2,178
2010,1100,1,1081
2010,1100,2,1026
2010,1110,1,559
2010,1110,2,501
2010,1120,1,502
2010,1120,2,473
2010,1130,1,224
2010,1130,2,212
2010,1140,1,428
